0	0
0.1	-0.146387
0.2	-0.1792
0.3	-0.113387
0.4	0.0368
0.5	0.257813
0.6	0.5368
0.7	0.861612
0.8	1.2208
0.9	1.60361
1	2
1.1	2.40061
1.2	2.7968
1.3	3.18061
1.4	3.5448
1.5	3.88281
1.6	4.1888
1.7	4.45761
1.8	4.6848
1.9	4.86661
2	5
2.1	5.08261
2.2	5.1128
2.3	5.08961
2.4	5.0128
2.5	4.88281
2.6	4.7008
2.7	4.46861
2.8	4.1888
2.9	3.86461
3	3.5
3.1	3.09961
3.2	2.6688
3.3	2.21361
3.4	1.7408
3.5	1.25781
3.6	0.7728
3.7	0.294612
3.8	-0.1672
3.9	-0.602388
4	-1
4.1	-1.34839
4.2	-1.6352
4.3	-1.84739
4.4	-1.9712
4.5	-1.99219
4.6	-1.8952
4.7	-1.66439
4.8	-1.2832
4.9	-0.734388
5	-1.77636e-14
5.1	0.938612
5.2	2.1008
5.3	3.50661
5.4	5.1768
5.5	7.13281
5.6	9.3968
5.7	11.9916
5.8	14.9408
5.9	18.2686
6	22
